submodule,feature_index,control_mean,p600_mean,difference,abs_difference
embed,0,102.51783752441406,102.51783752441406,0.0,0.0
embed,1,0.04096401691436768,0.2314705443382263,0.19050652742385862,0.19050652742385862
embed,2,0.0,0.01614235043525696,0.01614235043525696,0.01614235043525696
embed,3,0.0,0.0,0.0,0.0
embed,4,0.0,0.0,0.0,0.0
embed,5,0.0,0.051038475036621095,0.051038475036621095,0.051038475036621095
embed,6,0.07278340339660644,0.0,-0.07278340339660644,0.07278340339660644
embed,7,0.0,0.05329726815223694,0.05329726815223694,0.05329726815223694
embed,8,0.09930086135864258,0.08392434850335122,-0.01537651285529136,0.01537651285529136
embed,9,0.18613503456115724,0.0199642539024353,-0.16617078065872193,0.16617078065872193
embed,10,0.3213138031959534,0.08830484390258789,-0.2330089592933655,0.2330089592933655
embed,11,0.06371191978454589,0.0,-0.06371191978454589,0.06371191978454589
embed,12,0.007572340965270996,0.0,-0.007572340965270996,0.007572340965270996
embed,13,0.0,0.0,0.0,0.0
embed,14,0.0,0.0,0.0,0.0
embed,15,0.0,0.0,0.0,0.0
embed,16,0.0,0.0,0.0,0.0
attn_0,0,102.51783752441406,102.51783752441406,0.0,0.0
attn_0,1,0.04096401691436768,0.2314705443382263,0.19050652742385862,0.19050652742385862
attn_0,2,0.0,0.01614235043525696,0.01614235043525696,0.01614235043525696
attn_0,3,0.0,0.0,0.0,0.0
attn_0,4,0.0,0.0,0.0,0.0
attn_0,5,0.0,0.051038475036621095,0.051038475036621095,0.051038475036621095
attn_0,6,0.07278340339660644,0.0,-0.07278340339660644,0.07278340339660644
attn_0,7,0.0,0.05329726815223694,0.05329726815223694,0.05329726815223694
attn_0,8,0.09930086135864258,0.08392434850335122,-0.01537651285529136,0.01537651285529136
attn_0,9,0.18613503456115724,0.0199642539024353,-0.16617078065872193,0.16617078065872193
attn_0,10,0.3213138031959534,0.08830484390258789,-0.2330089592933655,0.2330089592933655
attn_0,11,0.06371191978454589,0.0,-0.06371191978454589,0.06371191978454589
attn_0,12,0.007572340965270996,0.0,-0.007572340965270996,0.007572340965270996
attn_0,13,0.0,0.0,0.0,0.0
attn_0,14,0.0,0.0,0.0,0.0
attn_0,15,0.0,0.0,0.0,0.0
attn_0,16,0.0,0.0,0.0,0.0
mlp_0,0,102.51783752441406,102.51783752441406,0.0,0.0
mlp_0,1,0.04096401691436768,0.2314705443382263,0.19050652742385862,0.19050652742385862
mlp_0,2,0.0,0.01614235043525696,0.01614235043525696,0.01614235043525696
mlp_0,3,0.0,0.0,0.0,0.0
mlp_0,4,0.0,0.0,0.0,0.0
mlp_0,5,0.0,0.051038475036621095,0.051038475036621095,0.051038475036621095
mlp_0,6,0.07278340339660644,0.0,-0.07278340339660644,0.07278340339660644
mlp_0,7,0.0,0.05329726815223694,0.05329726815223694,0.05329726815223694
mlp_0,8,0.09930086135864258,0.08392434850335122,-0.01537651285529136,0.01537651285529136
mlp_0,9,0.18613503456115724,0.0199642539024353,-0.16617078065872193,0.16617078065872193
mlp_0,10,0.3213138031959534,0.08830484390258789,-0.2330089592933655,0.2330089592933655
mlp_0,11,0.06371191978454589,0.0,-0.06371191978454589,0.06371191978454589
mlp_0,12,0.007572340965270996,0.0,-0.007572340965270996,0.007572340965270996
mlp_0,13,0.0,0.0,0.0,0.0
mlp_0,14,0.0,0.0,0.0,0.0
mlp_0,15,0.0,0.0,0.0,0.0
mlp_0,16,0.0,0.0,0.0,0.0
resid_0,0,102.51783752441406,102.51783752441406,0.0,0.0
resid_0,1,0.04096401691436768,0.2314705443382263,0.19050652742385862,0.19050652742385862
resid_0,2,0.0,0.01614235043525696,0.01614235043525696,0.01614235043525696
resid_0,3,0.0,0.0,0.0,0.0
resid_0,4,0.0,0.0,0.0,0.0
resid_0,5,0.0,0.051038475036621095,0.051038475036621095,0.051038475036621095
resid_0,6,0.07278340339660644,0.0,-0.07278340339660644,0.07278340339660644
resid_0,7,0.0,0.05329726815223694,0.05329726815223694,0.05329726815223694
resid_0,8,0.09930086135864258,0.08392434850335122,-0.01537651285529136,0.01537651285529136
resid_0,9,0.18613503456115724,0.0199642539024353,-0.16617078065872193,0.16617078065872193
resid_0,10,0.3213138031959534,0.08830484390258789,-0.2330089592933655,0.2330089592933655
resid_0,11,0.06371191978454589,0.0,-0.06371191978454589,0.06371191978454589
resid_0,12,0.007572340965270996,0.0,-0.007572340965270996,0.007572340965270996
resid_0,13,0.0,0.0,0.0,0.0
resid_0,14,0.0,0.0,0.0,0.0
resid_0,15,0.0,0.0,0.0,0.0
resid_0,16,0.0,0.0,0.0,0.0
attn_6,0,174.2070770263672,174.2070770263672,0.0,0.0
attn_6,1,0.0,0.0,0.0,0.0
attn_6,2,0.0,0.0,0.0,0.0
attn_6,3,0.0,0.0,0.0,0.0
attn_6,4,0.0,0.0,0.0,0.0
attn_6,5,0.0,0.0,0.0,0.0
attn_6,6,0.0,0.0,0.0,0.0
attn_6,7,0.0,0.06939644813537597,0.06939644813537597,0.06939644813537597
attn_6,8,0.0,0.0,0.0,0.0
attn_6,9,0.060908112525939945,0.0,-0.060908112525939945,0.060908112525939945
attn_6,10,0.06745290756225586,0.0,-0.06745290756225586,0.06745290756225586
attn_6,11,0.0,0.0,0.0,0.0
attn_6,12,0.0,0.0,0.0,0.0
attn_6,13,0.0,0.0,0.0,0.0
attn_6,14,0.0,0.0,0.0,0.0
attn_6,15,0.0,0.0,0.0,0.0
attn_6,16,0.0,0.0,0.0,0.0
mlp_6,0,174.2070770263672,174.2070770263672,0.0,0.0
mlp_6,1,0.0,0.0,0.0,0.0
mlp_6,2,0.0,0.0,0.0,0.0
mlp_6,3,0.0,0.0,0.0,0.0
mlp_6,4,0.0,0.0,0.0,0.0
mlp_6,5,0.0,0.0,0.0,0.0
mlp_6,6,0.0,0.0,0.0,0.0
mlp_6,7,0.0,0.06939644813537597,0.06939644813537597,0.06939644813537597
mlp_6,8,0.0,0.0,0.0,0.0
mlp_6,9,0.060908112525939945,0.0,-0.060908112525939945,0.060908112525939945
mlp_6,10,0.06745290756225586,0.0,-0.06745290756225586,0.06745290756225586
mlp_6,11,0.0,0.0,0.0,0.0
mlp_6,12,0.0,0.0,0.0,0.0
mlp_6,13,0.0,0.0,0.0,0.0
mlp_6,14,0.0,0.0,0.0,0.0
mlp_6,15,0.0,0.0,0.0,0.0
mlp_6,16,0.0,0.0,0.0,0.0
resid_6,0,174.2070770263672,174.2070770263672,0.0,0.0
resid_6,1,0.0,0.0,0.0,0.0
resid_6,2,0.0,0.0,0.0,0.0
resid_6,3,0.0,0.0,0.0,0.0
resid_6,4,0.0,0.0,0.0,0.0
resid_6,5,0.0,0.0,0.0,0.0
resid_6,6,0.0,0.0,0.0,0.0
resid_6,7,0.0,0.06939644813537597,0.06939644813537597,0.06939644813537597
resid_6,8,0.0,0.0,0.0,0.0
resid_6,9,0.060908112525939945,0.0,-0.060908112525939945,0.060908112525939945
resid_6,10,0.06745290756225586,0.0,-0.06745290756225586,0.06745290756225586
resid_6,11,0.0,0.0,0.0,0.0
resid_6,12,0.0,0.0,0.0,0.0
resid_6,13,0.0,0.0,0.0,0.0
resid_6,14,0.0,0.0,0.0,0.0
resid_6,15,0.0,0.0,0.0,0.0
resid_6,16,0.0,0.0,0.0,0.0
resid_11,0,202.78004455566406,202.7800451660156,6.103515488575795e-07,6.103515488575795e-07
resid_11,1,0.0,0.0,0.0,0.0
resid_11,2,0.0,0.08280094623565674,0.08280094623565674,0.08280094623565674
resid_11,3,0.0,0.056835334300994876,0.056835334300994876,0.056835334300994876
resid_11,4,0.0,0.0,0.0,0.0
resid_11,5,0.0,0.0,0.0,0.0
resid_11,6,0.0,0.0,0.0,0.0
resid_11,7,0.0,0.06760988235473633,0.06760988235473633,0.06760988235473633
resid_11,8,0.0,0.0,0.0,0.0
resid_11,9,0.0,0.0,0.0,0.0
resid_11,10,0.0,0.0,0.0,0.0
resid_11,11,0.0,0.0,0.0,0.0
resid_11,12,0.0,0.0,0.0,0.0
resid_11,13,0.0,0.0,0.0,0.0
resid_11,14,0.0,0.0,0.0,0.0
resid_11,15,0.0,0.0,0.0,0.0
resid_11,16,0.0,0.0,0.0,0.0
